"","Age_DPF","model","ShapiroWilk","ResidNorm","Variance","HomogVar","DF.num","DF.denom","Tstat","P_val","SigDif","Effsize","NA"
"1",165,"Welchs T test, equal variance","0.330244084416088; 0.343297279552684","YES",0.287941614556429,"YES","6","NA",1.16680817274111,0.143779890445729,"NO",0.825,NA
"2",196,"Welchs T test, equal variance","0.877232473915328; 0.587137499060625","YES",0.204725393329074,"YES","12","NA",-2.80266837498811,0.99201747760294,"NO",1.5,NA
"3",220,"Welchs T test, equal variance","0.185718409004105; 0.194776830140683","YES",0.509798145111388,"YES","9","NA",-2.94015691824659,0.991758734742301,"NO",1.78,NA
"4",225,"Welchs T test, equal variance","0.361188469061906; 0.908930197494695","YES",0.407665634470961,"YES","10","NA",-0.0514838214510954,0.520023056854543,"NO",0.0297,NA
"5",165,"Welchs T test, equal variance","0.348061858326428; 0.102477067943834","YES",0.314815445472629,"YES","6","NA",-6.99780528194224,0.999787897829146,"NO",4.95,NA
"6",196,"Welchs T test, equal variance","0.988114951755212; 0.801851595007864","YES",0.0684405611059713,"YES","12","NA",1.84622707482389,0.044829539655991,"YES",0.987,NA
"7",220,"Welchs T test, non-equal variance","0.153383605773982; 0.173075948872822","YES",0.0333734496339171,"NO","8.13888748677606","NA",3.72484014178962,0.00282743992484663,"YES",2.2,NA
"8",225,"Welchs T test, equal variance","0.585841607269083; 0.373618366749671","YES",0.584153592702277,"YES","10","NA",-0.333976400201473,0.627352271798895,"NO",0.193,NA
"9",165,"Welchs T test, equal variance","0.191113732534046; 0.986380394923415","YES",0.462125308588461,"YES","6","NA",0.670179913073919,0.2638400032759,"NO",0.474,NA
"10",196,"Welchs T test, equal variance","0.603740949076817; 0.228997631732547","YES",0.2585524350524,"YES","12","NA",2.02950281824757,0.0325927431643384,"YES",1.08,NA
"11",220,"Wilcoxon rank sum exact test","0.0115275623642624; 0.737487624623428","NO",0.826020602068066,"YES","NA","NA",20,0.428571428571429,"NO",0.275,NA
"12",225,"Welchs T test, equal variance","0.587196282582333; 0.248352216911993","YES",0.925636560173999,"YES","10","NA",0.291080974489561,0.388468673112672,"NO",0.168,NA
